S1 : 0 -> 97 : FROM START TO END
S52 : 63 -> 74 : FROM S31 TO S8
S53 : 54 -> 72 : FROM S1 TO S19
S54 : 79 -> 82 : FROM S31 TO S19
S55 : 12 -> 19 : FROM S1 TO S1
S56 : 53 -> 79 : FROM S8 TO S19
S57 : 80 -> 94 : FROM S54 TO S4
S58 : 84 -> 92 : FROM S44 TO S57
S59 : 75 -> 80 : FROM S48 TO S1
S60 : 23 -> 30 : FROM S1 TO S45
S61 : 58 -> 64 : FROM S38 TO S40
S62 : 86 -> 89 : FROM S58 TO S47
S63 : 64 -> 93 : FROM S41 TO S47
S64 : 80 -> 95 : FROM S17 TO S1
S65 : 5 -> 83 : FROM S1 TO S43
S66 : 71 -> 83 : FROM S12 TO S64
S67 : 80 -> 92 : FROM S17 TO S48
S68 : 54 -> 85 : FROM S3 TO S64
S69 : 72 -> 74 : FROM S36 TO S66
S70 : 4 -> 33 : FROM S1 TO S20
S71 : 33 -> 77 : FROM S7 TO S65
S72 : 88 -> 96 : FROM S58 TO S1
S73 : 77 -> 94 : FROM S13 TO S64
S74 : 79 -> 88 : FROM S66 TO S57
S75 : 37 -> 64 : FROM S1 TO S24
S76 : 11 -> 62 : FROM S25 TO S39
S77 : 17 -> 20 : FROM S50 TO S45
S78 : 82 -> 94 : FROM S43 TO S47
S79 : 87 -> 90 : FROM S12 TO S12
S80 : 6 -> 79 : FROM S1 TO S36
S81 : 40 -> 48 : FROM S7 TO S28
S82 : 60 -> 92 : FROM S16 TO S72
S83 : 44 -> 94 : FROM S81 TO S64
S84 : 61 -> 69 : FROM S11 TO S30
S85 : 15 -> 50 : FROM S1 TO S35
S86 : 27 -> 38 : FROM S1 TO S11
S87 : 40 -> 88 : FROM S10 TO S6
S88 : 46 -> 73 : FROM S33 TO S65
S89 : 83 -> 96 : FROM S43 TO S1
S90 : 35 -> 53 : FROM S1 TO S41
S91 : 40 -> 89 : FROM S26 TO S48
S92 : 42 -> 84 : FROM S24 TO S83
S93 : 87 -> 92 : FROM S73 TO S4
S94 : 46 -> 55 : FROM S40 TO S39
S95 : 13 -> 33 : FROM S1 TO S30
S96 : 25 -> 53 : FROM S5 TO S65
S97 : 41 -> 57 : FROM S24 TO S75
S98 : 82 -> 87 : FROM S67 TO S67
S99 : 87 -> 89 : FROM S62 TO S31
S100 : 25 -> 40 : FROM S1 TO S90
S101 : 27 -> 73 : FROM S100 TO S52
S102 : 9 -> 74 : FROM S25 TO S2
S103 : 61 -> 87 : FROM S35 TO S19
S104 : 60 -> 79 : FROM S68 TO S82
S105 : 20 -> 85 : FROM S1 TO S12
S106 : 69 -> 82 : FROM S36 TO S19
S107 : 65 -> 95 : FROM S84 TO S47
S108 : 80 -> 85 : FROM S54 TO S73
S109 : 88 -> 90 : FROM S79 TO S1
S110 : 28 -> 52 : FROM S1 TO S101
S111 : 72 -> 96 : FROM S71 TO S1
S112 : 49 -> 91 : FROM S14 TO S63
S113 : 29 -> 82 : FROM S60 TO S82
S114 : 73 -> 85 : FROM S69 TO S112
S115 : 11 -> 26 : FROM S1 TO S34
S116 : 25 -> 77 : FROM S85 TO S13
S117 : 16 -> 72 : FROM S76 TO S116
S118 : 60 -> 71 : FROM S105 TO S104
S119 : 81 -> 92 : FROM S54 TO S1
S120 : 30 -> 87 : FROM S1 TO S19
S121 : 29 -> 59 : FROM S110 TO S83
S122 : 52 -> 89 : FROM S2 TO S12
S123 : 78 -> 92 : FROM S42 TO S48
S124 : 56 -> 83 : FROM S35 TO S119
S125 : 23 -> 71 : FROM S1 TO S49
S126 : 84 -> 94 : FROM S12 TO S107
S127 : 32 -> 79 : FROM S65 TO S13
S128 : 83 -> 87 : FROM S47 TO S48
S129 : 78 -> 84 : FROM S19 TO S39
S130 : 8 -> 56 : FROM S1 TO S101
S131 : 4 -> 62 : FROM S25 TO S83
S132 : 90 -> 94 : FROM S126 TO S4
S133 : 5 -> 72 : FROM S25 TO S87
S134 : 37 -> 75 : FROM S86 TO S39
S135 : 24 -> 59 : FROM S1 TO S45
S136 : 78 -> 96 : FROM S48 TO S1
S137 : 93 -> 95 : FROM S78 TO S89
S138 : 80 -> 84 : FROM S73 TO S114
S139 : 51 -> 92 : FROM S116 TO S73
S140 : 12 -> 26 : FROM S1 TO S133
S141 : 44 -> 75 : FROM S2 TO S112
S142 : 12 -> 39 : FROM S115 TO S110
S143 : 82 -> 95 : FROM S119 TO S47
S144 : 90 -> 93 : FROM S119 TO S89
S145 : 29 -> 65 : FROM S1 TO S127
S146 : 52 -> 73 : FROM S131 TO S27
S147 : 85 -> 88 : FROM S78 TO S6
S148 : 76 -> 78 : FROM S68 TO S8
S149 : 70 -> 89 : FROM S56 TO S78
S150 : 5 -> 27 : FROM S1 TO S102

Possible Moves : 1, 2, 3, 7, 8
